model,Category,Category Value,Precision,Recall,F1,Accuracy
D4DATA-on-PRANJALI,Topic,sport,{'precision': 1.0},{'recall': 0.6206896551724138},{'f1': 0.7659574468085106},{'accuracy': 0.6206896551724138}
D4DATA-on-PRANJALI,Topic,student-debt,{'precision': 1.0},{'recall': 0.5454545454545454},{'f1': 0.7058823529411765},{'accuracy': 0.5454545454545454}
D4DATA-on-PRANJALI,Topic,taxes,{'precision': 0.9444444444444444},{'recall': 0.3269230769230769},{'f1': 0.4857142857142857},{'accuracy': 0.3333333333333333}
D4DATA-on-PRANJALI,Topic,trump-presidency,{'precision': 0.9473684210526315},{'recall': 0.6923076923076923},{'f1': 0.8},{'accuracy': 0.6666666666666666}
D4DATA-on-PRANJALI,Topic,universal health care,{'precision': 0.9230769230769231},{'recall': 0.2857142857142857},{'f1': 0.43636363636363634},{'accuracy': 0.3404255319148936}
D4DATA-on-PRANJALI,Topic,vaccines,{'precision': 0.3870967741935484},{'recall': 0.5217391304347826},{'f1': 0.4444444444444444},{'accuracy': 0.6629213483146067}
D4DATA-on-PRANJALI,Topic,white-nationalism,{'precision': 0.7222222222222222},{'recall': 0.6842105263157895},{'f1': 0.7027027027027027},{'accuracy': 0.6333333333333333}
VALURANK-on-PRANJALI,Type,center,{'precision': 1.0},{'recall': 0.6764705882352942},{'f1': 0.8070175438596491},{'accuracy': 0.6764705882352942}
VALURANK-on-PRANJALI,Type,left,{'precision': 1.0},{'recall': 0.3645320197044335},{'f1': 0.5342960288808665},{'accuracy': 0.3645320197044335}
VALURANK-on-PRANJALI,Type,right,{'precision': 1.0},{'recall': 0.40609137055837563},{'f1': 0.5776173285198556},{'accuracy': 0.40609137055837563}
VALURANK-on-PRANJALI,Topic,#metoo,{'precision': 1.0},{'recall': 0.3333333333333333},{'f1': 0.5},{'accuracy': 0.42857142857142855}
VALURANK-on-PRANJALI,Topic,abortion,{'precision': 0.8235294117647058},{'recall': 0.3783783783783784},{'f1': 0.5185185185185185},{'accuracy': 0.43478260869565216}
VALURANK-on-PRANJALI,Topic,blm,{'precision': 0.5102040816326531},{'recall': 0.5319148936170213},{'f1': 0.5208333333333334},{'accuracy': 0.4523809523809524}
VALURANK-on-PRANJALI,Topic,coronavirus,{'precision': 0.7647058823529411},{'recall': 0.7647058823529411},{'f1': 0.7647058823529411},{'accuracy': 0.6190476190476191}
VALURANK-on-PRANJALI,Topic,elections-2020,{'precision': 0.7142857142857143},{'recall': 0.43478260869565216},{'f1': 0.5405405405405406},{'accuracy': 0.41379310344827586}
VALURANK-on-PRANJALI,Topic,environment,{'precision': 0.7083333333333334},{'recall': 0.5151515151515151},{'f1': 0.5964912280701754},{'accuracy': 0.425}
VALURANK-on-PRANJALI,Topic,gender,{'precision': 0.75},{'recall': 0.3157894736842105},{'f1': 0.4444444444444444},{'accuracy': 0.3181818181818182}
VALURANK-on-PRANJALI,Topic,gun control,{'precision': 0.7659574468085106},{'recall': 0.48},{'f1': 0.5901639344262295},{'accuracy': 0.4318181818181818}
VALURANK-on-PRANJALI,Topic,immigration,{'precision': 0.6666666666666666},{'recall': 0.6086956521739131},{'f1': 0.6363636363636364},{'accuracy': 0.5294117647058824}
VALURANK-on-PRANJALI,Topic,international-politics-and-world-news,{'precision': 0.35714285714285715},{'recall': 0.29411764705882354},{'f1': 0.3225806451612903},{'accuracy': 0.19230769230769232}
VALURANK-on-PRANJALI,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.4}
VALURANK-on-PRANJALI,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.6617647058823529}
VALURANK-on-PRANJALI,Topic,middle-class,{'precision': 0.8888888888888888},{'recall': 0.3076923076923077},{'f1': 0.45714285714285713},{'accuracy': 0.2962962962962963}
VALURANK-on-PRANJALI,Topic,sport,{'precision': 1.0},{'recall': 0.3793103448275862},{'f1': 0.55},{'accuracy': 0.3793103448275862}
VALURANK-on-PRANJALI,Topic,student-debt,{'precision': 1.0},{'recall': 0.5},{'f1': 0.6666666666666666},{'accuracy': 0.5}
VALURANK-on-PRANJALI,Topic,taxes,{'precision': 0.9642857142857143},{'recall': 0.5192307692307693},{'f1': 0.675},{'accuracy': 0.5185185185185185}
VALURANK-on-PRANJALI,Topic,trump-presidency,{'precision': 0.9},{'recall': 0.34615384615384615},{'f1': 0.5},{'accuracy': 0.3333333333333333}
VALURANK-on-PRANJALI,Topic,universal health care,{'precision': 0.8461538461538461},{'recall': 0.5238095238095238},{'f1': 0.6470588235294118},{'accuracy': 0.48936170212765956}
VALURANK-on-PRANJALI,Topic,vaccines,{'precision': 0.23529411764705882},{'recall': 0.5217391304347826},{'f1': 0.32432432432432434},{'accuracy': 0.43820224719101125}
VALURANK-on-PRANJALI,Topic,white-nationalism,{'precision': 0.5714285714285714},{'recall': 0.21052631578947367},{'f1': 0.3076923076923077},{'accuracy': 0.4}
D1V1DE-on-BABE-on-PRANJALI,Type,center,{'precision': 1.0},{'recall': 0.8088235294117647},{'f1': 0.8943089430894309},{'accuracy': 0.8088235294117647}
D1V1DE-on-BABE-on-PRANJALI,Type,left,{'precision': 1.0},{'recall': 0.3842364532019704},{'f1': 0.5551601423487544},{'accuracy': 0.3842364532019704}
D1V1DE-on-BABE-on-PRANJALI,Type,right,{'precision': 1.0},{'recall': 0.41116751269035534},{'f1': 0.5827338129496403},{'accuracy': 0.41116751269035534}
D1V1DE-on-BABE-on-PRANJALI,Topic,#metoo,{'precision': 0.8},{'recall': 0.6666666666666666},{'f1': 0.7272727272727273},{'accuracy': 0.5714285714285714}
D1V1DE-on-BABE-on-PRANJALI,Topic,abortion,{'precision': 0.7272727272727273},{'recall': 0.43243243243243246},{'f1': 0.5423728813559322},{'accuracy': 0.41304347826086957}
D1V1DE-on-BABE-on-PRANJALI,Topic,blm,{'precision': 0.47692307692307695},{'recall': 0.6595744680851063},{'f1': 0.5535714285714286},{'accuracy': 0.40476190476190477}
D1V1DE-on-BABE-on-PRANJALI,Topic,coronavirus,{'precision': 0.7777777777777778},{'recall': 0.8235294117647058},{'f1': 0.8},{'accuracy': 0.6666666666666666}
D1V1DE-on-BABE-on-PRANJALI,Topic,elections-2020,{'precision': 0.625},{'recall': 0.43478260869565216},{'f1': 0.5128205128205128},{'accuracy': 0.3448275862068966}
D1V1DE-on-BABE-on-PRANJALI,Topic,environment,{'precision': 0.7391304347826086},{'recall': 0.5151515151515151},{'f1': 0.6071428571428571},{'accuracy': 0.45}
D1V1DE-on-BABE-on-PRANJALI,Topic,gender,{'precision': 0.8333333333333334},{'recall': 0.5263157894736842},{'f1': 0.6451612903225806},{'accuracy': 0.5}
D1V1DE-on-BABE-on-PRANJALI,Topic,gun control,{'precision': 0.76},{'recall': 0.5066666666666667},{'f1': 0.608},{'accuracy': 0.4431818181818182}
D1V1DE-on-BABE-on-PRANJALI,Topic,immigration,{'precision': 0.5384615384615384},{'recall': 0.30434782608695654},{'f1': 0.3888888888888889},{'accuracy': 0.35294117647058826}
D1V1DE-on-BABE-on-PRANJALI,Topic,international-politics-and-world-news,{'precision': 0.4375},{'recall': 0.4117647058823529},{'f1': 0.42424242424242425},{'accuracy': 0.2692307692307692}
D1V1DE-on-BABE-on-PRANJALI,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.34285714285714286}
D1V1DE-on-BABE-on-PRANJALI,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.5147058823529411}
D1V1DE-on-BABE-on-PRANJALI,Topic,middle-class,{'precision': 0.9090909090909091},{'recall': 0.38461538461538464},{'f1': 0.5405405405405406},{'accuracy': 0.37037037037037035}
D1V1DE-on-BABE-on-PRANJALI,Topic,sport,{'precision': 1.0},{'recall': 0.7586206896551724},{'f1': 0.8627450980392157},{'accuracy': 0.7586206896551724}
D1V1DE-on-BABE-on-PRANJALI,Topic,student-debt,{'precision': 1.0},{'recall': 0.4090909090909091},{'f1': 0.5806451612903226},{'accuracy': 0.4090909090909091}
D1V1DE-on-BABE-on-PRANJALI,Topic,taxes,{'precision': 0.9666666666666667},{'recall': 0.5576923076923077},{'f1': 0.7073170731707317},{'accuracy': 0.5555555555555556}
D1V1DE-on-BABE-on-PRANJALI,Topic,trump-presidency,{'precision': 0.8888888888888888},{'recall': 0.3076923076923077},{'f1': 0.45714285714285713},{'accuracy': 0.2962962962962963}
D1V1DE-on-BABE-on-PRANJALI,Topic,universal health care,{'precision': 0.8571428571428571},{'recall': 0.5714285714285714},{'f1': 0.6857142857142857},{'accuracy': 0.5319148936170213}
D1V1DE-on-BABE-on-PRANJALI,Topic,vaccines,{'precision': 0.14035087719298245},{'recall': 0.34782608695652173},{'f1': 0.2},{'accuracy': 0.2808988764044944}
D1V1DE-on-BABE-on-PRANJALI,Topic,white-nationalism,{'precision': 0.45454545454545453},{'recall': 0.2631578947368421},{'f1': 0.3333333333333333},{'accuracy': 0.3333333333333333}
D4DATA-on-BABE-on-PRANJALI,Type,center,{'precision': 1.0},{'recall': 0.2867647058823529},{'f1': 0.44571428571428573},{'accuracy': 0.2867647058823529}
D4DATA-on-BABE-on-PRANJALI,Type,left,{'precision': 1.0},{'recall': 0.6108374384236454},{'f1': 0.7584097859327217},{'accuracy': 0.6108374384236454}
D4DATA-on-BABE-on-PRANJALI,Type,right,{'precision': 1.0},{'recall': 0.6243654822335025},{'f1': 0.76875},{'accuracy': 0.6243654822335025}
D4DATA-on-BABE-on-PRANJALI,Topic,#metoo,{'precision': 0.5},{'recall': 0.16666666666666666},{'f1': 0.25},{'accuracy': 0.14285714285714285}
D4DATA-on-BABE-on-PRANJALI,Topic,abortion,{'precision': 0.8666666666666667},{'recall': 0.7027027027027027},{'f1': 0.7761194029850746},{'accuracy': 0.6739130434782609}
D4DATA-on-BABE-on-PRANJALI,Topic,blm,{'precision': 0.88},{'recall': 0.46808510638297873},{'f1': 0.6111111111111112},{'accuracy': 0.6666666666666666}
D4DATA-on-BABE-on-PRANJALI,Topic,coronavirus,{'precision': 1.0},{'recall': 0.35294117647058826},{'f1': 0.5217391304347826},{'accuracy': 0.47619047619047616}
D4DATA-on-BABE-on-PRANJALI,Topic,elections-2020,{'precision': 0.85},{'recall': 0.7391304347826086},{'f1': 0.7906976744186046},{'accuracy': 0.6896551724137931}
D4DATA-on-BABE-on-PRANJALI,Topic,environment,{'precision': 0.8888888888888888},{'recall': 0.48484848484848486},{'f1': 0.6274509803921569},{'accuracy': 0.525}
D4DATA-on-BABE-on-PRANJALI,Topic,gender,{'precision': 1.0},{'recall': 0.5789473684210527},{'f1': 0.7333333333333333},{'accuracy': 0.6363636363636364}
D4DATA-on-BABE-on-PRANJALI,Topic,gun control,{'precision': 0.9090909090909091},{'recall': 0.5333333333333333},{'f1': 0.6722689075630253},{'accuracy': 0.5568181818181818}
D4DATA-on-BABE-on-PRANJALI,Topic,immigration,{'precision': 0.8823529411764706},{'recall': 0.6521739130434783},{'f1': 0.75},{'accuracy': 0.7058823529411765}
D4DATA-on-BABE-on-PRANJALI,Topic,international-politics-and-world-news,{'precision': 1.0},{'recall': 0.5294117647058824},{'f1': 0.6923076923076923},{'accuracy': 0.6923076923076923}
D4DATA-on-BABE-on-PRANJALI,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.5428571428571428}
D4DATA-on-BABE-on-PRANJALI,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.7205882352941176}
D4DATA-on-BABE-on-PRANJALI,Topic,middle-class,{'precision': 1.0},{'recall': 0.5},{'f1': 0.6666666666666666},{'accuracy': 0.5185185185185185}
D4DATA-on-BABE-on-PRANJALI,Topic,sport,{'precision': 1.0},{'recall': 0.5517241379310345},{'f1': 0.7111111111111111},{'accuracy': 0.5517241379310345}
D4DATA-on-BABE-on-PRANJALI,Topic,student-debt,{'precision': 1.0},{'recall': 0.6363636363636364},{'f1': 0.7777777777777778},{'accuracy': 0.6363636363636364}
D4DATA-on-BABE-on-PRANJALI,Topic,taxes,{'precision': 0.92},{'recall': 0.4423076923076923},{'f1': 0.5974025974025974},{'accuracy': 0.42592592592592593}
D4DATA-on-BABE-on-PRANJALI,Topic,trump-presidency,{'precision': 1.0},{'recall': 0.6923076923076923},{'f1': 0.8181818181818182},{'accuracy': 0.7037037037037037}
D4DATA-on-BABE-on-PRANJALI,Topic,universal health care,{'precision': 0.9285714285714286},{'recall': 0.30952380952380953},{'f1': 0.4642857142857143},{'accuracy': 0.3617021276595745}
D4DATA-on-BABE-on-PRANJALI,Topic,vaccines,{'precision': 0.39285714285714285},{'recall': 0.4782608695652174},{'f1': 0.43137254901960786},{'accuracy': 0.6741573033707865}
D4DATA-on-BABE-on-PRANJALI,Topic,white-nationalism,{'precision': 0.8823529411764706},{'recall': 0.7894736842105263},{'f1': 0.8333333333333334},{'accuracy': 0.8}
VALURANK-on-BABE-on-PRANJALI,Type,center,{'precision': 1.0},{'recall': 0.7279411764705882},{'f1': 0.8425531914893617},{'accuracy': 0.7279411764705882}
VALURANK-on-BABE-on-PRANJALI,Type,left,{'precision': 1.0},{'recall': 0.4630541871921182},{'f1': 0.632996632996633},{'accuracy': 0.4630541871921182}
VALURANK-on-BABE-on-PRANJALI,Type,right,{'precision': 1.0},{'recall': 0.4263959390862944},{'f1': 0.597864768683274},{'accuracy': 0.4263959390862944}
VALURANK-on-BABE-on-PRANJALI,Topic,#metoo,{'precision': 1.0},{'recall': 0.16666666666666666},{'f1': 0.2857142857142857},{'accuracy': 0.2857142857142857}
VALURANK-on-BABE-on-PRANJALI,Topic,abortion,{'precision': 0.7142857142857143},{'recall': 0.5405405405405406},{'f1': 0.6153846153846154},{'accuracy': 0.45652173913043476}
VALURANK-on-BABE-on-PRANJALI,Topic,blm,{'precision': 0.47540983606557374},{'recall': 0.6170212765957447},{'f1': 0.5370370370370371},{'accuracy': 0.40476190476190477}
VALURANK-on-BABE-on-PRANJALI,Topic,coronavirus,{'precision': 0.7894736842105263},{'recall': 0.8823529411764706},{'f1': 0.8333333333333334},{'accuracy': 0.7142857142857143}
VALURANK-on-BABE-on-PRANJALI,Topic,elections-2020,{'precision': 0.7333333333333333},{'recall': 0.4782608695652174},{'f1': 0.5789473684210527},{'accuracy': 0.4482758620689655}
VALURANK-on-BABE-on-PRANJALI,Topic,environment,{'precision': 0.7916666666666666},{'recall': 0.5757575757575758},{'f1': 0.6666666666666666},{'accuracy': 0.525}
VALURANK-on-BABE-on-PRANJALI,Topic,gender,{'precision': 0.7272727272727273},{'recall': 0.42105263157894735},{'f1': 0.5333333333333333},{'accuracy': 0.36363636363636365}
VALURANK-on-BABE-on-PRANJALI,Topic,gun control,{'precision': 0.7884615384615384},{'recall': 0.5466666666666666},{'f1': 0.6456692913385826},{'accuracy': 0.48863636363636365}
VALURANK-on-BABE-on-PRANJALI,Topic,immigration,{'precision': 0.7},{'recall': 0.6086956521739131},{'f1': 0.6511627906976745},{'accuracy': 0.5588235294117647}
VALURANK-on-BABE-on-PRANJALI,Topic,international-politics-and-world-news,{'precision': 0.5909090909090909},{'recall': 0.7647058823529411},{'f1': 0.6666666666666666},{'accuracy': 0.5}
VALURANK-on-BABE-on-PRANJALI,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.3142857142857143}
VALURANK-on-BABE-on-PRANJALI,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.4411764705882353}
VALURANK-on-BABE-on-PRANJALI,Topic,middle-class,{'precision': 0.875},{'recall': 0.2692307692307692},{'f1': 0.4117647058823529},{'accuracy': 0.25925925925925924}
VALURANK-on-BABE-on-PRANJALI,Topic,sport,{'precision': 1.0},{'recall': 0.5517241379310345},{'f1': 0.7111111111111111},{'accuracy': 0.5517241379310345}
VALURANK-on-BABE-on-PRANJALI,Topic,student-debt,{'precision': 1.0},{'recall': 0.36363636363636365},{'f1': 0.5333333333333333},{'accuracy': 0.36363636363636365}
VALURANK-on-BABE-on-PRANJALI,Topic,taxes,{'precision': 0.9629629629629629},{'recall': 0.5},{'f1': 0.6582278481012658},{'accuracy': 0.5}
VALURANK-on-BABE-on-PRANJALI,Topic,trump-presidency,{'precision': 0.8888888888888888},{'recall': 0.3076923076923077},{'f1': 0.45714285714285713},{'accuracy': 0.2962962962962963}
VALURANK-on-BABE-on-PRANJALI,Topic,universal health care,{'precision': 0.9310344827586207},{'recall': 0.6428571428571429},{'f1': 0.7605633802816901},{'accuracy': 0.6382978723404256}
VALURANK-on-BABE-on-PRANJALI,Topic,vaccines,{'precision': 0.14516129032258066},{'recall': 0.391304347826087},{'f1': 0.21176470588235294},{'accuracy': 0.24719101123595505}
VALURANK-on-BABE-on-PRANJALI,Topic,white-nationalism,{'precision': 0.5},{'recall': 0.2631578947368421},{'f1': 0.3448275862068966},{'accuracy': 0.36666666666666664}
