text,topic,type,label,Predicted
There are some voices in the Democratic Party that freely admit how dangerously secular the Party has grown,marriage-equality,nan,0,XXX
He recently released a social media ad featuring a small employer who claims that the Trump administration has left behind small businesses and that Biden would be a “partner in the White House.”,taxes,right,1,XXX
The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.,sport,left,1,XXX
"President Trump poked fun at Sen. Amy Klobuchar, D-Minn., Sunday for vowing to tackle climate change as she kicked off her 2020 presidential campaign in a snowy, freezing Minneapolis park.",environment,right,1,XXX
A code that will blacklist from Oscar consideration any movie that does not meet whatever Orwellian diversity requirements are coming.,marriage-equality,nan,0,XXX
The case was sent back to lower courts to determine whether the gun owners may seek damages or press claims that the amended law still infringes their rights. ,gun control,center,1,XXX
"Unfortunately for Britain, their oversized sense of political correctness and so-called religious sensitivity toward Islam make vigilance virtually impossible.",islam,nan,0,XXX
The two Republican governors are in a heartlessness duel.,immigration,nan,0,XXX
"Last week, two women in the conservative state of Terengganu were sentenced to be caned under Islamic sharia law after being caught attempting to have sex in a car.",blm,nan,0,XXX
"John Oliver admits he's scared of ""literally everything,"" but perhaps nothing more than parents-turned-activists seemingly hellbent on unleasing a new plague.",vaccines,left,1,XXX
"The problem, Ocasio-Cortez complained, wasn’t that the cost of the college was prohibitively high but that the student was not offered any large discount in the form of scholarships.",student-debt,right,1,XXX
"The Guttmacher Institute, the abortion industry think tank established by Planned Parenthood, published a survey examining 32 studies in 27 countries and found that “[w]orldwide, the most commonly reported reason women cite for having an abortion is to postpone or stop childbearing.”",vaccines,nan,0,XXX
"Threre are some concerns about whether some of the goals set by the Green New Deal are realistic, but to argue that the blueprint is genocidal is hopelessly bonkers.",environment,left,1,XXX
Day said that some Democrats had phoned her to say they would not vote for Hillary Clinton because of her extreme pro-abortion stance.,abortion,right,1,XXX
Assad has been at war with the rebels since 2011 and has been repeatedly accused of using chemical weapons against civilians and other human rights atrocities to cement his control over regions that oppose his rule.,international-politics-and-world-news,right,1,XXX
Nobel laureate Paul Krugman breaks down Trump's anti-working class agenda,universal health care,left,1,XXX
"After the Trustees issued a toothless “letter of formal reprimand,” the chair of the faculty senate wrote an open letter saying that “[Keon’s] mere presence is an affront to the Asian community” and students have circulated petitions calling for Keon’s resignation.",white-nationalism,nan,0,XXX
"President Donald Trump has slammed the idea of police defunding, tweeting that the “Radical Left Democrats have gone Crazy!,” and many Democrats including presumptive presidential nominee Joe Biden have called for more measured reform.",blm,nan,0,XXX
"Work ethic is not a top priority for young adults, if the constant whining about the “burden” of student debt hasn’t clued you in.",student-debt,nan,0,XXX
"All these gun controls, and more, dovetail well with Joe Biden’s myriad gun control positions and his promise to come after gun companies if he gets elected.",gun control,right,1,XXX
"The bevy of women who’ve spoken out in recent days should serve as a powerful condemnation of those who use their anonymity—or their power—as a cloak for vice. Their stories should also serve as a powerful rallying cry to parents, neighbors, and friends to stand up for the voiceless, the vulnerable, the unprotected.",#metoo,nan,0,XXX
Seattle police said they were investigating a reported shooting inside the Capital Hill Organized Protest (CHOP) zone in what would be the second such incident there in the past 48 hours.,blm,nan,0,XXX
The hearing comes a day after the Democrat-led House held a hearing to discuss the alleged threat of white nationalist terrorism to the country.,white-nationalism,right,1,XXX
"Nancy Pelosi Proposes 1,400-Page Coronavirus Bill Stuffed with Pork",coronavirus,right,1,XXX
Young female athletes’ dreams and accomplishments have been dashed across the country when competing against biological males who “identify” as females.,marriage-equality,nan,0,XXX
"The rising hysteria among gun nuts has led to Watts being personally inundated on social media with grotesque, misogynist harassment in recent days.",gun control,left,1,XXX
"Holding a face mask draped over a pen in his left hand, and reading from a script evidently placed slightly off-camera, Biden labored through a presentation that sought to portray Trump as a plutocrat serving his cronies.",middle-class,right,1,XXX
Trump claims the WHO is in need of reform and is heavily influenced by China.,vaccines,nan,0,XXX
"North Carolina’s governor called for the removal of Confederate monuments from State Capitol grounds on Saturday, citing public safety after anti-racism protesters in Raleigh pulled two statues down with ropes Friday night.",blm,center,1,XXX
"This story starts, as many tales of Republican incompetence do, with sheer ignorance and lack of curiosity.",vaccines,nan,0,XXX
And his demagoguery around the Central American immigrant caravans and asylum-seekers continually obscure the fact that asking for asylum is an entirely legal form of immigration — even though Trump and his defenders now like to call it a “loophole.”,immigration,left,1,XXX
"In a Biden administration, the Loony Left will be in charge of policy -- people who want to defund the police.",marriage-equality,nan,0,XXX
"Trump, speaking to reporters as he departed the White House for a trip to a Whirlpool washing machine factory in Ohio, said a vaccine release around the time of the election “wouldn’t hurt,” but the goal of the effort was to save lives.",vaccines,nan,0,XXX
"Like other autocrats and de facto crime bosses, Trump rewards his servants' loyalty to further cement his control over them.",islam,nan,0,XXX
Republicans are flooding this red state with cash over panic state may flip on Trump,gun control,left,1,XXX
"For the most part however, Biden’s campaign has faded into the background of American politics as the nation struggles to combat the coronavirus pandemic and a new surge in violent demonstrations engulfing the country in a storm of anarchy.",coronavirus,right,1,XXX
"White nationalists also expressed excitement Tuesday about Trump's plan to use an executive order to end ""birthright citizenship,"" the automatic grant of citizen status to anyone born in the United States.",white-nationalism,left,1,XXX
"A Twitter account claiming to belong to a national ""antifa"" organization and pushing violent rhetoric related to ongoing protests has been linked to the white nationalist group Identity Evropa, according to a Twitter spokesperson.",blm,nan,0,XXX
"Twitter's ""Head of Site Integrity"" Yoel Roth boasts on his LinkedIn that he is in charge of ""developing and enforcing Twitter’s rules,"" like the one that led Twitter to slap a new ""misleading"" warning label on two of President Trump's tweets concerning nationwide mail-in balloting on Tuesday.",marriage-equality,nan,0,XXX
"Shortly before the 2018 midterm elections, Donald Trump announced that he and congressional Republicans were working “around the clock” on a new, “very major” tax cut, which would exclusively benefit the middle class, and which would be ready no later than Nov. 1.",middle-class,left,1,XXX
"The targeted killing is the latest demonstration of how, two decades after the CIA spotted but was unable to kill a man they believed was al Qaeda leader Osama bin Laden in Afghanistan, the U.S. has become adept at hunting and killing its enemies, particularly in the troubled regions of the Middle East, South Asia and Africa.",international-politics-and-world-news,left,1,XXX
"Save the Children made several recommendations addressed to governments and armed groups to ensure the protection of children, urging them to commit themselves not to recruit fighters under 18 years of age and to avoid the use of explosive weapons in populated areas.",international-politics-and-world-news,right,1,XXX
"But racial inequality was the dominant theme of the press conference, including statistics Warren cited wherein blacks are more likely to owe more in student loans 12 years after graduating than they did right after completing college.",student-debt,right,1,XXX
It is therefore no surprise that Ocasio-Cortez has embraced the term “Democratic socialism.”,middle-class,right,1,XXX
"Those segregationists were fond of saying that if northern liberals liked integration so much, they would gladly send southern Blacks their way.",immigration,nan,0,XXX
The White House issued an emailed statement after a spokesman for the House of Representatives committee holding the hearing said the panel had been informed by Trump administration officials that Fauci had been blocked from testifying.,vaccines,nan,0,XXX
"The result of this tribalism will not be a catharsis of white identity, improving equality for non-whites. It will be resentment towards being the only tribe not given the special treatment bestowed by victimhood.",white-nationalism,right,1,XXX
That’s led some vaccine foes to join the protesters — whom Trump has encouraged on Twitter — in staging demonstrations in state capitals to “reopen America.”,vaccines,left,1,XXX
U.S. women’s soccer team co-captain Megan Rapinoe is begging prominent male soccer stars to must begin agitating for political causes.,sport,right,1,XXX
"Trump was a major factor in the early rumblings of white nationalism on the network, which gave him considerable airtime during his reality TV days to air conspiracy theories about Barack Obama’s birth certificate.",white-nationalism,left,1,XXX
"Trump audaciously claims that any crimes he may have committed crimes before assuming office cannot even be investigated, not even if he committed murder, in effect trying to extend the protections of bankruptcy law with which he is so familiar to criminal law. No statute, court decision or our Constitution supports this claim of being above the law.",taxes,left,1,XXX
"Noir was reacting to the massive gun-rights rally in Richmond, where thousands of people from across the country protested a push by Democrats in the commonwealth to pass more comprehensive gun control laws.",gun control,right,1,XXX
"About half of the dozen top-tier of Democratic hopefuls vying for the nomination have endorsed some form of Medicare for All, according to a Reuters analysis of campaign positions.",universal health care,center,1,XXX
"Samoa on Thursday closed all non-essential public and private services for two days to combat a measles epidemic that has killed more than 60 people, mostly babies and children, in a battle complicated by a vocal anti-vaccination movement.",vaccines,center,1,XXX
"A transgender woman, Suki was beaten up by a group of assailants last week with sticks and plastic pipes in Seremban, a town south of the Malaysian capital Kuala Lumpur.",blm,nan,0,XXX
"While the stupid Democrats who vote for Democrats stress and worry  about another round of looting and burning this weekend in their Democrat-run cities, all I’m worried about is the weather.",marriage-equality,nan,0,XXX
Swiss voters will head to the polls to decide whether homophobia – hate crimes or discrimination based on sexual orientation –should be criminalized.,gender,center,1,XXX
"Mourners filed into the historic Ebenezer Baptist Church on Monday for a public viewing for Rayshard Brooks, a Black man who lay in a gold-colored casket after being killed by an Atlanta police officer outside a restaurant ten days ago.",blm,center,1,XXX
"While riots raged across the United States over Floyd’s death, editors on Wikipedia promptly set out to spin the narrative of the unrest against Trump.",blm,right,1,XXX
Secretary of State Mike Pompeo urged Afghans not to squander an opportunity for lasting peace in remarks to the summit between Afghan government and Taliban leaders here that represents the beginning of peace negotiations.,islam,nan,0,XXX
Republican Senator Rand Paul on Friday called on the FBI to investigate a crowd of protesters that swarmed him as he departed the White House after listening to U.S. President Donald Trump accept his party’s nomination for re-election.,blm,center,1,XXX
"This time last year, shoppers on Chicago’s Magnificent Mile were waiting for Louis Vuitton to debut its whimsical holiday window decorations.",blm,center,1,XXX
"Nevertheless, Trump and other Republicans have tarred the protests as havens for terrorists intent on destroying property. ",trump-presidency,left,1,XXX
"The radical leftist has been gaining in the national polls and is beginning to take the lead in key early primary and caucus states as the February 3 Iowa caucus, which kicks off the Democrat Party’s nomination process, draws nearer.",taxes,right,1,XXX
"What appears to have happened is that, like Barr, Pompeo is an ideological extremist who has figured out how to appease and flatter the president into helping him achieve his own goals.",islam,nan,0,XXX
British Olympic swimmer Sharron Davies also slammed the concept of transgender athletes.,sport,right,1,XXX
"The whiteness of the protests alongside the stark racial disparities in COVID-19 mortality underscores that the desire to reopen businesses is rooted in white supremacy. As if it weren’t already clear, in Michigan where the nation’s most prominent protest took place, armed white men demanded an end to the lockdown while carrying Confederate flags, swastikas, and nooses.",coronavirus,left,1,XXX
"The accusations fueled the #MeToo movement, in which women have accused powerful men in business, entertainment, media and politics of sexual misconduct.",#metoo,center,1,XXX
"The researchers analyzed data collected between 2009 and 2012 from a sample of people on Medicare, the government-run health insurance program for the elderly and disabled, to see if eliminating out of pocket costs had closed the gap between rich and poor and led to more mammograms and colonoscopies. ",universal health care,center,1,XXX
"In another clip, the group can be seen scrambling for their cars after sirens go off, a newly added security feature.",white-nationalism,left,1,XXX
"After marching in Monday’s Labor Day parade with Rep. Conor Lamb and Sen. Bob Casey in Pittsburgh, Biden will appear in the New York suburbs with Mikie Sherrill, a slight favorite to win a New Jersey congressional seat that has been in Republican hands for three decades.",middle-class,nan,0,XXX
"Procter and Gamble, a major sponsor of the US Women’s National Soccer team, has backed the players in their fight for equal pay, with a public donation of $529,000.",sport,left,1,XXX
"Driving the momentum is opposition to a host of gun control proposals from Northam and Democrats, who won full control of the state's government in November for the first time since 1993.",gun control,center,1,XXX
"The current travel ban, which the administration re-worked during a series of court challenges, indefinitely suspends the issuance of immigrant and non-immigrant visas to applicants from Libya, Iran, Somalia, Syria, Yemen, North Korea and Venezuela.",islam,nan,0,XXX
Austin police and emergency medical services said on Twitter that one person was killed during the shooting. ,blm,center,1,XXX
"A recent review of TikTok found the widespread use of racist “Asian sounds” with users saying “Asian sounding words by speaking gibberish” and using sounds like this to portray “people of Asian descent as irrational or overly emotional, reducing an entire racial group to a mere caricature.”",white-nationalism,nan,0,XXX
"Climate change, which is the subject of fierce debate, may lead to a ""substantial increase"" in the number of extreme rainstorms, according to a startling new study by NASA.",environment,right,1,XXX
"Imagine a world where over one-half of the members in the Republican House of Representatives, including the top Republican in that caucus, sign on to a clumsy, thoroughly bogus attempt to overturn a national election based on contrived lies that add up to nothing except the fact that their man lost. ",blm,left,1,XXX
"Police training emphasizing de-escalation and minimizing the use of force might better protect vulnerable community members, she said.",blm,nan,0,XXX
There isn't anyone with more political credibility than Pelosi.,vaccines,nan,0,XXX
"This year Trump brazenly said he is stopping or limiting enforcement of the laws designed to protect consumers from companies that sell you and your children hazardous products, pollute your air and water, defraud you in the marketplace, and fail to recall your defective cars/trucks.",taxes,left,1,XXX
"At a White House briefing, Trump defended his administration’s handling of the crisis and said health experts were “ready, willing and able” to move quickly if the virus spreads.",vaccines,nan,0,XXX
"If the press could think beyond the narrow assumptions of political debate, and if the Democratic Party had more rhetorical daring, they might make it clear that Black Lives Matter, a formidable coalition of civil rights organizations, and tens of thousands of outraged citizens filling the streets in protest of police brutality, are on the side of the law. ",gun control,left,1,XXX
Democrats have seethed as they helplessly watched the Trump administration undo or block a slew of Obama-era environmental proposals during the past two years.,environment,center,1,XXX
"Abortion ends lives, hurting women and preborn children.",vaccines,nan,0,XXX
"House Democrats are not currently pushing a firearm registry, but without a complete knowledge of the location of all firearms, universal background checks simply will not work.",gun control,right,1,XXX
"Dogging Bloomberg’s campaign are allegations that he made inappropriate comments toward women and that his company, Bloomberg LP, fostered a hostile environment for female employees.",gender,center,1,XXX
"For decades, Democrats have been accused of assuming that certain demographics of voters — black, Hispanic, women, etc. —",blm,nan,0,XXX
"Speaking to host Trevor Noah, Obama sang the praises of BLM activists who have pushed for police departments around the country to be stripped of public funding.",blm,nan,0,XXX
"And although nearly every Republican has sold their souls to Trump, none of them want to cross someone with the moral authority of Gen. Mattis, who counseled Americans in no uncertain terms to abandon Trump.",trump-presidency,left,1,XXX
"Authorities are investigating seven fires set in violent protests in Washington over the weekend, and one person has been arrested and charged, said Regina Lombardo, acting director of the U.S. Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF).",blm,nan,0,XXX
"And if history is any guide, shootings often spur interest in gun laws, including red flag bills.",gun control,center,1,XXX
Harvey Weinstein’s rape trial took a dramatic turn on Tuesday as the judge threatened to revoke his bail and jail the former film producer after catching him using his cellphone just as jury selection got underway.,#metoo,center,1,XXX
Activists for untrammeled entrance into the U.S. by Muslim “refugees” affixed a banner reading “Refugees Welcome” to the pedestal of the Statue of Liberty Tuesday.,islam,nan,0,XXX
"U.S. President Donald Trump said on Tuesday that the policies pushed by what he termed as “open border activists” were hurting the very people they supposedly aim to help, as he called illegal immigration one of the world’s must crucial challenges.",blm,nan,0,XXX
The contrast also illustrates the Republican Party's callous indifference to the immediate desperate needs of millions of Americans.,taxes,left,1,XXX
"This is what the corporate news media does now. They lie, or at least fail to do anything resembling due diligence as long as what they are reporting hurts Donald Trump and then they clarify.",vaccines,nan,0,XXX
Team Trump simply decided to consider changes that would have dramatic effects on those who rely on the social-insurance programs.,middle-class,left,1,XXX
"As Breitbart News most recently reported, blue-collar Americans in landscaping, conservation work, the meatpacking industry, construction industry, and fishing jobs have had their wages dragged down by foreign workers imported through the H-2B visa program.",immigration,right,1,XXX
"While a number of transgender advocates and LGBTQ health experts applauded P&G’s decision to redesign the Always packaging by removing the female signs, the company’s announcement sparked criticism online, including a bounty of transphobic commentary.",gender,left,1,XXX
"Actress-turned-feminist activist Emily Ratajkowski and her husband are living in “prime NYC real estate” completely for free, according to a new report.",gender,right,1,XXX
"Gun control groups hit back, saying the closures are strictly a public health matter — even as a number of sympathetic Democratic governors acknowledge bowing to pressure from lawsuits and the Trump administration.",gun control,left,1,XXX
"Elizabeth Warren and Bernie Sanders disagreed in a Democratic presidential debate on Tuesday over whether he once told her a woman could not win the White House in 2020, underlining an emerging rift between the progressive contenders as the first voting nears.",gender,center,1,XXX
"Owens, who said in her opening remarks that she is a Democrat who supports President Donald Trump, said Democrat policies have harmed blacks.",white-nationalism,right,1,XXX
"Andres Iniesta, the former Barcelona captain and World Cup-winning Spanish soccer star, apologized Tuesday after being criticized for posting a picture of him posing with two people clad in blackface during a popular Christian celebration.",sport,right,1,XXX
"Just steps from where Trump spoke, peaceful protesters marched down blocked-off streets around the White House, Black Lives Matter Plaza and the Lincoln Memorial.",blm,center,1,XXX
A gay men’s group is claiming that Facebook shut down its page after transgender activists repeatedly reported the group for its stance on gender and sexual orientation.,marriage-equality,nan,0,XXX
"Amid the pandemic, the Trump campaign said religion is essential for providing critical fellowship among communities.",islam,nan,0,XXX
Trump has also threatened to impose an additional 25 percent tariffs on $325 billion worth of imports from China.,international-politics-and-world-news,right,1,XXX
"Yet no one denies that older nuclear plants, with an aged infrastructure often surpassing expected lifetimes, are extremely inefficient and run a higher risk of disaster.",environment,left,1,XXX
"Merril Hoge, one of the most outspoken critics against the alarm surrounding CTE studies, also underscored that, from his lens, demonizing sports like football does more harm to American children than good.",sport,right,1,XXX
"The “complicated reality,” Charen observes, is that “it is not Biden’s fault that so many people want to come to the United States.”",immigration,nan,0,XXX
"In an emailed statement, a Trump Organization spokeswoman blasted de Blasio for “using the power of his office to try and launch an investigation into his political opponent.” The statement called the allegations “unfounded and clearly motivated by politics.”",taxes,left,1,XXX
"During a meeting on the coronavirus Monday, Trump asked a group of pharmaceutical CEOs if a vaccine would ""make you better quicker,"" indicating the president does not fully grasp that a vaccine would prevent, not treat, the virus.",vaccines,nan,0,XXX
Manhattan District Attorney Cy Vance Jr. announced a policy change regarding people arrested at Black Lives Matter protests on charges of unlawful assembly and disorderly conduct.,blm,nan,0,XXX
"Once you’ve grasped these points, the true significance of those hard-left activists’ assault on those statues becomes clear. By destroying — or trying to destroy — those statues, what they are really trying to destroy is Britain’s sense of history and, by extension, its cohesive national identity.",marriage-equality,nan,0,XXX
"President-elect Joe Biden focused on the coronavirus pandemic, setting meetings with vaccine developers as the crisis intensifies.",vaccines,nan,0,XXX
Is Islam a destructive force in the world?,islam,nan,0,XXX
"Numerous posts claim the virus has been patented — and some even suggest, incorrectly, that the virus was made in a lab and a vaccine already exists.",coronavirus,center,1,XXX
"That is what we are doing every day, exposing the deep state, their allies and the corrupt liberal media that enables them. ",taxes,right,1,XXX
"In his brief three-month campaign for president, Michael Bloomberg poured nearly three-quarters of a billion dollars into building an advertising and data-mining juggernaut unlike anything the political world had ever seen.",gun control,center,1,XXX
Kurz invoked the 2015 “Islam Act” to close mosques that were accused of supporting extremism and engaging in subversive political activity.,islam,nan,0,XXX
"They are, she believes, the Founding Fathers' insurance policy against tyranny – the safeguard for every other right spelled out in the U.S. Constitution",gun control,center,1,XXX
The specter of “abortion regret” has been used by lawmakers and judges alike to impose or uphold rules making it harder for people to get abortions.,abortion,left,1,XXX
"Even while claiming to reopen in New York, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.",vaccines,nan,0,XXX
"Americans know President Donald Trump is an outrageous, scandal-ridden character.",universal health care,left,1,XXX
LGBTQ health experts said Always's decision to remove the female signs from its products is an ostensibly small change that may have significant consequences for trans and nonbinary people.,gender,left,1,XXX
"However, much of the research into climate-related health impacts has, historically, focused on its direct physical manifestations.",environment,nan,0,XXX
"The ADL report represents a sobering warning about the reach of white supremacist groups, which can take advantage of the efficiency and anonymity provided by social media to disseminate their ideology with little fear of backlash.",white-nationalism,center,1,XXX
"Trump has been able to maintain 40% approval ratings by effectively manipulating the lizard brains of white Republicans, but even before COVID-19 hit, Trump was considered one of the worst presidents in the two surveys of scholars done in 2018.",vaccines,nan,0,XXX
"Sarah Holmes, a parent from County Wicklow, said that there was a danger that the curriculum as proposed could have caused “widespread confusion” for children and that the gender ideology adopted by the government has been “taken on in schools without any debate and without parental knowledge”.",gender,nan,0,XXX
"Take the case of non-Hodgkin’s lymphoma survivor Chris Gonzalez; after being laid off by Goldman Sachs, the federal government gave him some relief by suspending his federal student loan payments. New Jersey, on the other hand, sued him and proceeded to snap up a state tax refund he was counting on.",student-debt,left,1,XXX
"I get that the media really want to do some bullcrap horse-race point-scoring partisan sniping right now. But these are actually important questions. And “gotcha” reporting may get you butt-slapped by your fellow reporters at the bar, but it’s actually really dangerous.",vaccines,right,1,XXX
"The Federal Reserve, long criticized for being too white and male, crossed a substantial milestone last year: for the first time in its 107-year history, white men held fewer than half of board seats at the Fed’s 12 regional outposts.",blm,nan,0,XXX
Predatory gangster capitalism needs agents and other actors to advance its goals. ,taxes,left,1,XXX
"In the chaos of this moment, it seems likely that Joe Biden will just squeeze into the presidency and that he'll certainly win the popular vote, Donald Trump's Mussolini-like behavior and election night false claim of victory notwithstanding",gun control,left,1,XXX
"Protests, including in Portland, have at times erupted into arson and violence, and federal officers sent into the Northwestern city have repeatedly clashed with crowds targeting the federal courthouse there.",blm,center,1,XXX
"A top expert on viruses in the administration, Dr. Anthony Fauci, has been told by the White House not to speak publicly about the emerging coronavirus outbreak without permission, according to a report Thursday in the New York Times.",vaccines,nan,0,XXX
"As The Washington Post described talks with two dozen administration officials, the White House spent times scrambling to gain control of a rudderless response defined by bureaucratic infighting, confusion and misinformation.",vaccines,nan,0,XXX
A small group of Black teenage girls carrying megaphones stood in front of the federal courthouse in downtown Portland near midnight on Thursday facing a largely white band of protesters.,blm,center,1,XXX
"Democrats, who won control of the House in the November 2018 U.S. elections, say Trump’s personal returns would reveal whether he has complied with U.S. tax laws and any IRS audits, as well as his effective tax rate, business and investment income and charitable contributions.",taxes,center,1,XXX
"All those bonanzas could have been used to fix your roads, bridges, mass transits, schools, clinics, and drinking water systems. Egomaniac Trump doesn't care about you; for him, it's about using the government to enrich himself and his family members and to bail out his failing hotels and golf courses.",taxes,left,1,XXX
Fitzpatrick put out a press release announcing the gun control and even adopted gun controllers’ linguistic phraseology of a bump stock “loophole” to push the new gun laws.,gun control,nan,0,XXX
"Now it is Biden’s bizarre behavior, forgetfulness, and word salads served on those few occasions he emerges from his basement in unscripted exchanges.",vaccines,nan,0,XXX
New York City police officer arrested after apparent chokehold arrest,blm,nan,0,XXX
"Donald Trump’s presidential campaign and many of his administration’s policies have played on the trope of threats posed by refugees, asylum seekers and other migrants.",immigration,left,1,XXX
"He is asking President Trump, a fellow climate change disbeliever and another white nationalist, for help with dousing the fires.",white-nationalism,left,1,XXX
He did not elaborate.,islam,nan,0,XXX
The votes come as a new conservative majority on the nation’s highest court has made abortion rights supporters nervous. ,abortion,left,1,XXX
The reason for the attacks becomes clearer when considering that Black Lives Matter and Antifa are Marxist organizations and Marxism is an enemy of Christianity.,islam,nan,0,XXX
"Congressional Democrats are disputing the president's authority to do this. Republican lawmakers are planning their own investigation, examining the early response by the WHO and the Chinese government.",coronavirus,left,1,XXX
"These plans were never hidden. Indeed, they were clumsily obvious. Since the 1970s, predatory gangster capitalism has been accepted as either ""normal"" or ""inevitable"" in the United States (as well as the United Kingdom and elsewhere). ",taxes,left,1,XXX
"This account of Trump’s decision-making, based on a senior defense official as well as several others in the Trump administration, offers insight into how the president was pushing for the fastest, most extreme measures while advisers at the Pentagon tried to persuade him that a more moderate approach would work.",trump-presidency,right,1,XXX
"However, the 45-year-old actor Joaquin Phoenix used his time on stage to call for his celebrity cohorts to put their money where their mouths are when it comes to climate change.",environment,right,1,XXX
"New York’s mayor joined activists on Thursday to paint “Black Lives Matter” in giant yellow letters on the city’s exclusive Fifth Avenue in front of Trump Tower, once the crown jewel in President Donald Trump’s property empire.",blm,center,1,XXX
"As we have seen across America these past weeks, like other left-wing, antisemitic movements, BLM justifies violence and resorts to it.",marriage-equality,nan,0,XXX
"And when Trump refuses to bow to the howling shrieks of the political correctness brigade and actually speaks openly and boldly about getting a good deal for Americans, it’s still refreshing, even as his first term nears a close.",universal health care,right,1,XXX
Researchers see a growing threat from white supremacists who call themselves “accelerationists” and avow violence to counter democratic governments.,white-nationalism,left,1,XXX
U.S. civil rights groups have enlisted the multinationals to help pressure the social media giant into taking concrete steps to block hate speech in the wake of the death of George Floyd and amid a national reckoning over racism.,blm,nan,0,XXX
"China is attacking the values of freedom, human rights, and sovereignty that the United States and other like-minded nations hold dear.",islam,nan,0,XXX
"We could turn our attention to the fact that Republicans spent much of the last decade falsely accusing Democrats of supporting Medicare cuts through the Affordable Care Act, only to have a GOP White House actually propose taking an ax to the social-insurance program.",middle-class,left,1,XXX
"Protesters marched more than two miles Tuesday to the police precinct in that part of the city, with some damaging property and skirmishing with officers in riot gear who fired tear gas. ",blm,right,1,XXX
The true elegance of ranked choice voting is that it encourages candidates to campaign and to govern in an inclusive manner that leads to better representation for everyone. It incentivizes candidates to look beyond their base and seek out second-choice support.,elections-2020,left,1,XXX
The report is an in-depth analysis of the Parkland shooting and offers a searing critique of the school and sheriff department’s ability to stymie the bloodshed.,gun control,left,1,XXX
Jamaica has suspended the use of a badge representing one of the highest British royal honors after anti-racism protesters decried its imagery of a white angel standing on the head of Satan depicted as a chained man with dark skin.,blm,center,1,XXX
The governor of Minnesota declared a state of peacetime emergency in the city of Minneapolis after violent protests erupted on Wednesday night following the death of a Black homicide suspect who police say shot himself.,blm,center,1,XXX
Some colleges are choosing to invite only a portion of students back to campus amid a resurgence in COVID-19 cases nationwide,marriage-equality,nan,0,XXX
"The slogan of “defund the police” has arisen in the wake of rioting and looting that hit cities around the country following the killing of George Floyd, an unarmed and handcuffed black man, at the hands of Minneapolis police on Memorial Day.",marriage-equality,nan,0,XXX
"Collins, often described as a “moderate,” is not a far-right wingnut; the Maine senator leans conservative but isn’t an extremist like Rep. Devin Nunes of California or Rep. Jim Jordan of Ohio. ",universal health care,left,1,XXX
"Not since the Jim Crow South years have we had to worry about people's physical safety as they approach the polls to cast their vote -- and the ""Four More Years"" folks and other gun-toting Trump supporters have, I fear, just gotten started. ",gun control,left,1,XXX
"Some nations have worked directly to secure supplies of vaccine, but others are pooling efforts to ensure success against a disease that has no geographical boundaries.",vaccines,nan,0,XXX
"So Acevedo’s war on gun shows would do little to prevent criminals from getting guns, but it might keep a grandpa from buying a shotgun he was going to use to duck hunt with his grandson.",gun control,right,1,XXX
"Unbelievably, with all they had seen their child suffer, his parents not only refused the doctor’s suggestion that he receive another DTaP vaccination they also declined all the other scheduled vaccinations the boy had missed.",vaccines,left,1,XXX
"The two groups fired pepper spray at each other, at least one Trump supporter beat a Black Lives Matter protester with a baseball bat and a Trump supporter sprayed a fire extinguisher.",blm,center,1,XXX
"We must be wary of allowing those wielding the toxic charge of racism, no matter how well intentioned their motives, to decide who has a voice and who does not. ",blm,left,1,XXX
"At what point did we decide George Washington and Abraham Lincoln were moral monsters, or that all police are racist thugs?",marriage-equality,nan,0,XXX
"Indeed, as an aside, one wonders what Obama’s vice president, Joe Biden, thinks of all this: Has he learned the lesson of Iraq and other quagmires?  Has he rethought trade with China? Those are certainly good questions to be answered during the remainder of the 2020 campaign season.  ",taxes,right,1,XXX
Republican senators returned to Washington on Monday following a 10-day holiday recess still at odds with one another over legislation President Donald Trump wants passed to repeal major portions of Obamacare.,universal health care,center,1,XXX
"In the runup to the 2018 midterm elections, President Donald Trump often railed against the caravans of migrants from Central America making their way to the U.S. to request asylum.",immigration,center,1,XXX
"One of the bitterest cases in academe involved Steven Salaita, whose offer of a tenured faculty position at the University of Illinois was revoked in 2014 after he posted a series of tweets harshly critical of Israel.",international-politics-and-world-news,right,1,XXX
Four major U.S. cities filed a lawsuit on Thursday contending that President Donald Trump’s administration is unconstitutionally seeking to undermine Obamacare by failing to faithfully execute the healthcare law.,universal health care,center,1,XXX
"An organization backed by Saudi Arabia accused several foreign countries of inciting young women to reject their families, the first public comments from Riyadh since a woman claiming domestic abuse was granted asylum in Canada over the weekend.",gender,center,1,XXX
"For example, business leaders say the nation’s enormous population of immigrants has expanded the nation’s workforce, increased consumption, and driven up housing prices but that inflow has also shrunk the wages of less-educated Americans, the report said.",immigration,right,1,XXX
"Google has faced internal criticism in the past over sales and partnerships involving the U.S. military, as well as foreign governments seen by human rights activists as authoritarian.",blm,center,1,XXX
